Source path,Class name,Simple name,Asset type,Description,Fields
account-service/src/main/java/finos/traderx/accountservice/model/Account.java,finos.traderx.accountservice.model.Account,Account,Entity,"Entity account with fields: serialVersionUID, id, displayName","serialVersionUID, id, displayName"
account-service/src/main/java/finos/traderx/accountservice/model/AccountUser.java,finos.traderx.accountservice.model.AccountUser,AccountUser,Entity,"Entity account user with fields: accountId, username","accountId, username"
position-service/src/main/java/finos/traderx/positionservice/model/Position.java,finos.traderx.positionservice.model.Position,Position,Entity,"Entity position with fields: serialVersionUID, accountId, security, quantity, updated","serialVersionUID, accountId, security, quantity, updated"
position-service/src/main/java/finos/traderx/positionservice/model/Trade.java,finos.traderx.positionservice.model.Trade,Trade,Entity,"Entity trade with fields: serialVersionUID, id, accountId, security, side and 4 more","serialVersionUID, id, accountId, security, side, state, quantity, updated, created"
trade-processor/src/main/java/finos/traderx/tradeprocessor/model/Position.java,finos.traderx.tradeprocessor.model.Position,Position,Entity,"Entity position with fields: serialVersionUID, accountId, security, quantity, updated","serialVersionUID, accountId, security, quantity, updated"
trade-processor/src/main/java/finos/traderx/tradeprocessor/model/Trade.java,finos.traderx.tradeprocessor.model.Trade,Trade,Entity,"Entity trade with fields: serialVersionUID, id, accountId, security, side and 4 more","serialVersionUID, id, accountId, security, side, state, quantity, updated, created"
trade-processor/src/main/java/finos/traderx/tradeprocessor/model/TradeRequest.java,finos.traderx.tradeprocessor.model.TradeRequest,TradeRequest,DTO,"DTO trade request with fields: accountId, security, side, quantity","accountId, security, side, quantity"
trade-processor/src/main/java/finos/traderx/tradeprocessor/model/TradeResponse.java,finos.traderx.tradeprocessor.model.TradeResponse,TradeResponse,DTO,"DTO trade response with fields: success, id, errorMessage","success, id, errorMessage"
trade-service/src/main/java/finos/traderx/tradeservice/model/TradeRequest.java,finos.traderx.tradeservice.model.TradeRequest,TradeRequest,DTO,"DTO trade request with fields: accountId, security, side, quantity","accountId, security, side, quantity"
trade-service/src/main/java/finos/traderx/tradeservice/model/TradeResponse.java,finos.traderx.tradeservice.model.TradeResponse,TradeResponse,DTO,"DTO trade response with fields: success, id, errorMessage","success, id, errorMessage"
