Entity ID,Source path,Entity/Table name,Entity class,Repository class,Connection type,Database type
entity:finos.traderx.accountservice.model.Account,account-service/src/main/java/finos/traderx/accountservice/model/Account.java,ACCOUNTS,finos.traderx.accountservice.model.Account,,JPA,
entity:finos.traderx.accountservice.model.AccountUser,account-service/src/main/java/finos/traderx/accountservice/model/AccountUser.java,Accountusers,finos.traderx.accountservice.model.AccountUser,,JPA,
repository:finos.traderx.accountservice.repository.AccountRepository,account-service/src/main/java/finos/traderx/accountservice/repository/AccountRepository.java,Account,finos.traderx.accountservice.model.Account,finos.traderx.accountservice.repository.AccountRepository,Spring Data JPA,
repository:finos.traderx.accountservice.repository.AccountUserRepository,account-service/src/main/java/finos/traderx/accountservice/repository/AccountUserRepository.java,AccountUser,finos.traderx.accountservice.model.AccountUser,finos.traderx.accountservice.repository.AccountUserRepository,Spring Data JPA,
entity:finos.traderx.positionservice.model.Position,position-service/src/main/java/finos/traderx/positionservice/model/Position.java,POSITIONS,finos.traderx.positionservice.model.Position,,JPA,
entity:finos.traderx.positionservice.model.Trade,position-service/src/main/java/finos/traderx/positionservice/model/Trade.java,TRADES,finos.traderx.positionservice.model.Trade,,JPA,
repository:finos.traderx.positionservice.repository.PositionRepository,position-service/src/main/java/finos/traderx/positionservice/repository/PositionRepository.java,Position,finos.traderx.positionservice.model.Position,finos.traderx.positionservice.repository.PositionRepository,Spring Data JPA,
repository:finos.traderx.positionservice.repository.TradeRepository,position-service/src/main/java/finos/traderx/positionservice/repository/TradeRepository.java,Trade,finos.traderx.positionservice.model.Trade,finos.traderx.positionservice.repository.TradeRepository,Spring Data JPA,
entity:finos.traderx.tradeprocessor.model.Position,trade-processor/src/main/java/finos/traderx/tradeprocessor/model/Position.java,POSITIONS,finos.traderx.tradeprocessor.model.Position,,JPA,
entity:finos.traderx.tradeprocessor.model.Trade,trade-processor/src/main/java/finos/traderx/tradeprocessor/model/Trade.java,TRADES,finos.traderx.tradeprocessor.model.Trade,,JPA,
repository:finos.traderx.tradeprocessor.repository.PositionRepository,trade-processor/src/main/java/finos/traderx/tradeprocessor/repository/PositionRepository.java,Position,finos.traderx.tradeprocessor.model.Position,finos.traderx.tradeprocessor.repository.PositionRepository,Spring Data JPA,
repository:finos.traderx.tradeprocessor.repository.TradeRepository,trade-processor/src/main/java/finos/traderx/tradeprocessor/repository/TradeRepository.java,Trade,finos.traderx.tradeprocessor.model.Trade,finos.traderx.tradeprocessor.repository.TradeRepository,Spring Data JPA,
