Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
org.springframework.boot:spring-boot:3.5.7,org.springframework.boot,,SpringApplication,1,
org.springframework.boot:spring-boot-autoconfigure:3.5.7,org.springframework.boot,,SpringBootApplication,1,
io.swagger.core.v3:swagger-models-jakarta:2.2.38,io.swagger.core.v3,,"Server, Info, OpenAPI",1,
org.springframework:spring-beans:6.2.12,org.springframework,,Value,1,
org.springframework:spring-context:6.2.12,org.springframework,,"Bean, Configuration",1,
org.springframework:spring-web:6.2.12,org.springframework,,"ResponseEntity, PutMapping, GetMapping, PostMapping, ExceptionHandler, CrossOrigin, RequestMapping, RestController",1,
org.slf4j:slf4j-api:2.0.17,org.slf4j,,"LoggerFactory, Logger",1,
jakarta.persistence:jakarta.persistence-api:3.1.0,jakarta.persistence,,"Id, GeneratedValue, SequenceGenerator, Column, Entity, GenerationType, Table",1,
org.springframework.data:spring-data-commons:3.5.5,org.springframework.data,,CrudRepository,1,
org.springframework.data:spring-data-jpa:3.5.5,org.springframework.data,,JpaRepository,1,
io.socket:socket.io-client:2.1.2,io.socket,,"Socket, IO, IO.Options",1,
com.fasterxml.jackson.core:jackson-databind:2.19.2,com.fasterxml.jackson.core,,ObjectMapper,1,
org.json:json:20250517,org.json,,JSONObject,1,
io.socket:engine.io-client:2.1.0,io.socket,,"Emitter.Listener, Emitter",1,
com.fasterxml.jackson.core:jackson-annotations:2.19.2,com.fasterxml.jackson.core,,"JsonInclude, JsonInclude.Include",1,
io.swagger.core.v3:swagger-annotations-jakarta:2.2.38,io.swagger.core.v3,,Schema,1,
