Entity ID,Source path,Service class,Method name,HTTP method,Path,Produces,Consumes,Framework,Method signature
endpoint:finos.traderx.accountservice.controller.AccountController#getAccountById(int),account-service/src/main/java/finos/traderx/accountservice/controller/AccountController.java,finos.traderx.accountservice.controller.AccountController,getAccountById,GET,/account/{id},application/json,,Spring,"finos.traderx.accountservice.controller.AccountController{name=getAccountById,return=org.springframework.http.ResponseEntity<finos.traderx.accountservice.model.Account>,parameters=[int]}"
endpoint:finos.traderx.accountservice.controller.AccountController#createAccount(Account),account-service/src/main/java/finos/traderx/accountservice/controller/AccountController.java,finos.traderx.accountservice.controller.AccountController,createAccount,POST,/account/,application/json,,Spring,"finos.traderx.accountservice.controller.AccountController{name=createAccount,return=org.springframework.http.ResponseEntity<finos.traderx.accountservice.model.Account>,parameters=[finos.traderx.accountservice.model.Account]}"
endpoint:finos.traderx.accountservice.controller.AccountController#updateAccount(Account),account-service/src/main/java/finos/traderx/accountservice/controller/AccountController.java,finos.traderx.accountservice.controller.AccountController,updateAccount,PUT,/account/,application/json,,Spring,"finos.traderx.accountservice.controller.AccountController{name=updateAccount,return=org.springframework.http.ResponseEntity<finos.traderx.accountservice.model.Account>,parameters=[finos.traderx.accountservice.model.Account]}"
endpoint:finos.traderx.accountservice.controller.AccountController#getAllAccount(),account-service/src/main/java/finos/traderx/accountservice/controller/AccountController.java,finos.traderx.accountservice.controller.AccountController,getAllAccount,GET,/account/,application/json,,Spring,"finos.traderx.accountservice.controller.AccountController{name=getAllAccount,return=org.springframework.http.ResponseEntity<java.util.List<finos.traderx.accountservice.model.Account>>,parameters=[]}"
endpoint:finos.traderx.accountservice.controller.AccountUserController#getAccountUserById(int),account-service/src/main/java/finos/traderx/accountservice/controller/AccountUserController.java,finos.traderx.accountservice.controller.AccountUserController,getAccountUserById,GET,/accountuser/{id},application/json,,Spring,"finos.traderx.accountservice.controller.AccountUserController{name=getAccountUserById,return=org.springframework.http.ResponseEntity<finos.traderx.accountservice.model.AccountUser>,parameters=[int]}"
endpoint:finos.traderx.accountservice.controller.AccountUserController#createAccountUser(AccountUser),account-service/src/main/java/finos/traderx/accountservice/controller/AccountUserController.java,finos.traderx.accountservice.controller.AccountUserController,createAccountUser,POST,/accountuser/,application/json,,Spring,"finos.traderx.accountservice.controller.AccountUserController{name=createAccountUser,return=org.springframework.http.ResponseEntity<finos.traderx.accountservice.model.AccountUser>,parameters=[finos.traderx.accountservice.model.AccountUser]}"
endpoint:finos.traderx.accountservice.controller.AccountUserController#updateAccountUser(AccountUser),account-service/src/main/java/finos/traderx/accountservice/controller/AccountUserController.java,finos.traderx.accountservice.controller.AccountUserController,updateAccountUser,PUT,/accountuser/,application/json,,Spring,"finos.traderx.accountservice.controller.AccountUserController{name=updateAccountUser,return=org.springframework.http.ResponseEntity<finos.traderx.accountservice.model.AccountUser>,parameters=[finos.traderx.accountservice.model.AccountUser]}"
endpoint:finos.traderx.accountservice.controller.AccountUserController#getAllAccountUsers(),account-service/src/main/java/finos/traderx/accountservice/controller/AccountUserController.java,finos.traderx.accountservice.controller.AccountUserController,getAllAccountUsers,GET,/accountuser/,application/json,,Spring,"finos.traderx.accountservice.controller.AccountUserController{name=getAllAccountUsers,return=org.springframework.http.ResponseEntity<java.util.List<finos.traderx.accountservice.model.AccountUser>>,parameters=[]}"
endpoint:finos.traderx.accountservice.controller.DocsController#index(),account-service/src/main/java/finos/traderx/accountservice/controller/DocsController.java,finos.traderx.accountservice.controller.DocsController,index,GET,/,,,Spring,"finos.traderx.accountservice.controller.DocsController{name=index,return=java.lang.String,parameters=[]}"
endpoint:finos.traderx.positionservice.controller.DocsController#index(),position-service/src/main/java/finos/traderx/positionservice/controller/DocsController.java,finos.traderx.positionservice.controller.DocsController,index,GET,/,,,Spring,"finos.traderx.positionservice.controller.DocsController{name=index,return=java.lang.String,parameters=[]}"
endpoint:finos.traderx.positionservice.controller.HealthController#isReady(),position-service/src/main/java/finos/traderx/positionservice/controller/HealthController.java,finos.traderx.positionservice.controller.HealthController,isReady,GET,/health/ready,application/json,,Spring,"finos.traderx.positionservice.controller.HealthController{name=isReady,return=org.springframework.http.ResponseEntity,parameters=[]}"
endpoint:finos.traderx.positionservice.controller.HealthController#isAlive(),position-service/src/main/java/finos/traderx/positionservice/controller/HealthController.java,finos.traderx.positionservice.controller.HealthController,isAlive,GET,/health/alive,application/json,,Spring,"finos.traderx.positionservice.controller.HealthController{name=isAlive,return=org.springframework.http.ResponseEntity<java.lang.Boolean>,parameters=[]}"
endpoint:finos.traderx.positionservice.controller.PositionController#getByAccountId(int),position-service/src/main/java/finos/traderx/positionservice/controller/PositionController.java,finos.traderx.positionservice.controller.PositionController,getByAccountId,GET,/positions/{accountId},application/json,,Spring,"finos.traderx.positionservice.controller.PositionController{name=getByAccountId,return=org.springframework.http.ResponseEntity<java.util.List<finos.traderx.positionservice.model.Position>>,parameters=[int]}"
endpoint:finos.traderx.positionservice.controller.PositionController#getAllPositions(),position-service/src/main/java/finos/traderx/positionservice/controller/PositionController.java,finos.traderx.positionservice.controller.PositionController,getAllPositions,GET,/positions/,application/json,,Spring,"finos.traderx.positionservice.controller.PositionController{name=getAllPositions,return=org.springframework.http.ResponseEntity<java.util.List<finos.traderx.positionservice.model.Position>>,parameters=[]}"
endpoint:finos.traderx.positionservice.controller.TradeController#getByAccountId(int),position-service/src/main/java/finos/traderx/positionservice/controller/TradeController.java,finos.traderx.positionservice.controller.TradeController,getByAccountId,GET,/trades/{accountId},application/json,,Spring,"finos.traderx.positionservice.controller.TradeController{name=getByAccountId,return=org.springframework.http.ResponseEntity<java.util.List<finos.traderx.positionservice.model.Trade>>,parameters=[int]}"
endpoint:finos.traderx.positionservice.controller.TradeController#getAllTrades(),position-service/src/main/java/finos/traderx/positionservice/controller/TradeController.java,finos.traderx.positionservice.controller.TradeController,getAllTrades,GET,/trades/,application/json,,Spring,"finos.traderx.positionservice.controller.TradeController{name=getAllTrades,return=org.springframework.http.ResponseEntity<java.util.List<finos.traderx.positionservice.model.Trade>>,parameters=[]}"
endpoint:finos.traderx.tradeprocessor.controller.DocsController#index(),trade-processor/src/main/java/finos/traderx/tradeprocessor/controller/DocsController.java,finos.traderx.tradeprocessor.controller.DocsController,index,GET,/,,,Spring,"finos.traderx.tradeprocessor.controller.DocsController{name=index,return=java.lang.String,parameters=[]}"
endpoint:finos.traderx.tradeprocessor.controller.TradeServiceController#processOrder(TradeOrder),trade-processor/src/main/java/finos/traderx/tradeprocessor/controller/TradeServiceController.java,finos.traderx.tradeprocessor.controller.TradeServiceController,processOrder,POST,/tradeservice/order,,,Spring,"finos.traderx.tradeprocessor.controller.TradeServiceController{name=processOrder,return=org.springframework.http.ResponseEntity<finos.traderx.tradeprocessor.model.TradeBookingResult>,parameters=[finos.traderx.tradeprocessor.model.TradeOrder]}"
endpoint:finos.traderx.tradeservice.controller.DocsController#index(),trade-service/src/main/java/finos/traderx/tradeservice/controller/DocsController.java,finos.traderx.tradeservice.controller.DocsController,index,GET,/,,,Spring,"finos.traderx.tradeservice.controller.DocsController{name=index,return=java.lang.String,parameters=[]}"
